Workout Type,Start,End,Duration,Active Energy (kJ),Resting Energy (kJ),Intensity (kcal/hr·kg),Max. Heart Rate (count/min),Avg. Heart Rate (count/min),Distance (km),Max. Speed (km/hr),Avg. Speed (km/hr),Flights Climbed,Elevation Ascended (m),Elevation Descended (m),Step Count,Step Cadence (spm),Swimming Stroke Count,Swim Cadence (spm),Lap Length (m),Swim Stroke Style,SWOLF Score,Water Salinity,Temperature (degC),Humidity (%),Location,
Hiking,2026-03-15 11:07,2026-03-15 16:06,02:53:26,2595.1575940960115,1811.3623839999996,3.193940689851617,151.0,104.07008949082528,12.026009069258981,0.0,0.0,0.0,359.36,0.0,17105.417421321064,98.62440929395393,0.0,0.0,0.0,,0.0,,18.674758911130482,60.0,,
Outdoor Walk,2026-03-14 13:36,2026-03-14 14:42,01:03:31,639.5422135957276,410.286523050912,3.378894050739982,129.0,91.6804515461111,3.7789003245173207,0.0,0.0,0.0,36.1,0.0,5444.0420135615195,85.69082425661549,0.0,0.0,0.0,,0.0,,15.863820075986439,74.0,Outdoor,
Pool Swim,2026-03-14 08:48,2026-03-14 09:19,00:30:46,877.5344879635325,190.70233708797548,7.319585231085328,141.0,117.20637179319155,0.8458200225830078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,14.231008057478535,0.02286,,0.0,,12.07320117950212,84.0,Pool,
Golf,2026-03-13 12:27,2026-03-13 15:15,02:47:45,1160.8158403209727,1036.2995869019155,2.761640844435499,127.0,88.34931167732154,2.3077705783291567,0.0,0.0,0.0,0.0,0.0,3227.0289402885364,19.23592615788559,0.0,0.0,0.0,,0.0,,16.941717147824818,68.0,,
Traditional Strength Training,2026-03-12 14:18,2026-03-12 15:01,00:42:42,657.0679369382154,260.4904605654957,2.0816109844269133,121.0,90.10943151930228,0.0,0.0,0.0,0.0,0.0,0.0,651.9999999999998,15.265233960656657,0.0,0.0,0.0,,0.0,,20.718843460080677,49.0,,
Outdoor Run,2026-03-11 18:09,2026-03-11 18:36,00:27:12,877.9139783442632,172.74663070327531,8.091163889204921,169.0,152.79973294364368,3.2266888371149456,0.0,0.0,0.0,75.51,0.0,3896.9999999999995,143.19023621992852,0.0,0.0,0.0,,0.0,,18.43181037902599,51.0,Outdoor,
Outdoor Run,2026-03-11 17:59,2026-03-11 18:29,00:30:18,612.1903279999998,184.51439999999997,7.989161758041969,169.0,153.79297212632665,1.896703918580282,0.0,0.0,0.0,0.0,0.0,4538.32300077441,149.73255811622533,0.0,0.0,0.0,,0.0,,0.0,0.0,Outdoor,
Pool Swim,2026-03-10 16:26,2026-03-10 16:58,00:32:01,834.2059855492035,201.24051815502008,6.81083913189291,134.0,111.20814005076824,0.8229600219726563,0.0,0.0,0.0,0.0,0.0,635.0,19.823401186046507,419.0,13.080322987328325,0.02286,,0.0,,0.0,0.0,Pool,
Walk,2026-03-07 14:22,2026-03-07 14:45,00:23:00,179.53018829345703,0.0,0.0,106.0,87.86454729844239,0.7143873946074476,0.0,0.0,0.0,0.0,0.0,1234.2530273038992,53.66317510016953,0.0,0.0,0.0,,0.0,,0.0,0.0,,
Hiking,2026-03-07 11:56,2026-03-07 13:53,01:57:00,1477.7859143066407,0.0,0.0,125.00000000000001,98.3831906223075,8.88850907027321,0.0,0.0,0.0,0.0,0.0,8920.0,76.23931623931624,0.0,0.0,0.0,,0.0,,0.0,0.0,,
Hiking,2026-03-07 10:01,2026-03-07 10:15,00:14:00,167.94950820922853,0.0,0.0,117.0,105.62383606731431,0.8264244552356429,0.0,0.0,0.0,0.0,0.0,1237.7199992540666,88.40857137529046,0.0,0.0,0.0,,0.0,,0.0,0.0,,
